DATE,UNRATE
2019-06-01,3.7
2019-07-01,3.7
2019-08-01,3.7
2019-09-01,3.5
2019-10-01,3.6
2019-11-01,3.5
2019-12-01,3.5
2020-01-01,3.6
2020-02-01,3.5
2020-03-01,4.4
2020-04-01,14.7
2020-05-01,13.3
